"recording.title","recording.artist.credit.phrase","number"
"I Drove All Night (Hex Hector extended vocal import mix)","Céline Dion",1
"I Drove All Night (Hex Hector extended vocal Import mix)","Céline Dion",1
"I Drove All Night (Hex Hector radio mix)","Céline Dion",1
"I Drove All Night (UK radio edit)","Céline Dion",1
"I Drove All Night (Wayne G & Paul Young Anthem mix)","Céline Dion",1
"I Go Back (Live)","Kenny Chesney",1
"I Got a Feelin","Billy Currington",1
"I Got a Feelin’","Billy Currington",1
"I Hope You Dance (acoustic)","Lee Ann Womack",1
"I Hope You Dance (iTunes Originals version)","Lee Ann Womack",1
"I Hope You Dance (pop version)","Lee Ann Womack",1
"I Hope You Dance (Rawling club edit)","Lee Ann Womack",1
"I Hope You Dance (Rawling Mix radio edit)","Lee Ann Womack",1
"I Hope You Dance (The Rawling mix)","Lee Ann Womack",1
"I Hope You Dance (US pop version)","Lee Ann Womack",1
"I just wanna love u","JAY‐Z",1
"I Just Wanna Love U","J.U.I.C.E. feat. Jay‐Z",1
"I Just Wanna Love U","Jay‐Z",1
"I Just Wanna Love U","Jay Z",1
"I Just Wanna Love U (Give it 2 Me)","Jay‐Z",1
"I Just Wanna Love U (Give It 2 Me)","JAY‐Z",1
"I Just Wanna Love U (Give It 2 Me) (radio edit)","Jay‐Z",1
"I Just Wanna Love U (Give It to Me) (Call Out Research Hook)","Jay-Z",1
"I Just Wanna Love U (Give It to Me) (instrumental)","Jay-Z",1
"I Just Wanna Love U (Give It to Me) (radio edit)","Jay-Z",1
"I Knew I Loved You (12"" Mini Me mix)","Savage Garden",1
"I Knew I Loved You (7"" Mini Me mix)","Savage Garden",1
"I Knew I Loved You (acoustic version)","Savage Garden",1
"I Knew I Loved You (club mix)","Savage Garden",1
"I Knew I Loved You (Crossover mix)","Savage Garden",1
"I Knew I Loved You (Daniel's remix)","Savage Garden",1
"I Knew I Loved You (Eddie's Savage dance mix)","Savage Garden",1
"I Knew I Loved You (Eddie’s rhythm radio mix)","Savage Garden",1
"I Knew I Loved You (extended instrumental version)","Savage Garden",1
"I Knew I Loved You (International version)","Savage Garden",1
"I Knew I Loved You (live at Paris Radio)","Savage Garden",1
"I Know","Sunday",1
"I Know What You Want","Busta Rhymes & Mariah Carey feat. Flipmode Squad",1
"I Know What You Want","Busta Rhymes & Mariah Carey feat. The Flipmode Squad",1
"I Know What You Want","Busta Rhymes and Mariah Carey feat. The Flipmode Squad",1
"I Know What You Want (album version)","Busta Rhymes and Mariah Carey feat. The Flipmode Squad",1
"I Know What You Want (instrumental)","Busta Rhymes and Mariah Carey feat. The Flipmode Squad",1
"I Know What You Want (video)","Busta Rhymes & Mariah Carey feat. The Flipmode Squad",1
"I Learned From The Best","Whitney Houston",1
"I Learned From the Best (album version)","Whitney Houston",1
"I Learned from the Best (HQ² Club Mix)","Whitney Houston",1
"I Learned From the Best (HQ2 club mix)","Whitney Houston",1
"I Learned from the Best (HQ² Dub)","Whitney Houston",1
"I Learned From the Best (HQ2 dub)","Whitney Houston",1
"I Learned From the Best (HQ2 mix)","Whitney Houston",1
"I Learned from the Best (HQ² Mixshow Instrumental)","Whitney Houston",1
"I Learned from the Best (HQ² Mixshow Mix)","Whitney Houston",1
"I Learned from the Best (HQ² Radio Mix)","Whitney Houston",1
"I Learned from the Best (Metronome Mix)","Whitney Houston",1
"I Learned from the Best (Nick's Mix)","Whitney Houston",1
"I Learned From the Best (uptempo mix)","Whitney Houston",1
"I Learned From the Best (video)","Whitney Houston",1
"I Like It (original mix edit)","Sammie",1
"I Like It (remix) (instrumental)","Sammie",1
"I Like Them Girls (A Cappella)","Tyrese",1
"I Like Them Girls (Album Version)","Tyrese",1
"I Like Them Girls (Instrumental)","Tyrese",1
"I Like Them Girls (Radio Edit)","Tyrese",1
"I Like Them Girls (The Hot Squad remix)","Tyrese",1
"I Love This Bar (karaoke mix)","Toby Keith",1
"I Love This Bar (karaoke)","Toby Keith",1
"I Love This Bar (vocal mix)","Toby Keith",1
"I Love You","Anthony Evans",1
"I Love You","Dru Hill",1
"I Love You (Pop remix)","Martina McBride",1
"I Love You (Single Version)","Martina McBride",1
"I Love You Came Too Late","Joey McIntyre",1
"I Miss My Friend (single edit)","Darryl Worley",1
"I Miss You","DMX featuring Faith Evans",1
"I Miss You","Faith Evans",1
"I Need a Girl","Puff Daddy feat. Usher & Loon",1
"I Need a Girl (Part One)","P. Diddy featuring Usher & Loon",1
"I Need a Girl (Part One)","Puff Daddy feat. Usher & Loon",1
"I Need a Girl (Part One) (acappella)","P. Diddy feat. Usher & Loon",1
"I Need a Girl (Part One) (club mix)","P. Diddy feat. Usher & Loon",1
"I Need a Girl (Part Two)","P. Diddy feat. Ginuwine, Loon, Mario Winans & Tammy Ruggeri",1
"I Need To Know","Marc Anthony",1
"I Need to Know (Amen club mix)","Marc Anthony",1
"I Need to Know (D'Ambrosio club mix radio edit)","Marc Anthony",1
"I Need to Know (D'Ambrosio Hectic dub)","Marc Anthony",1
"I Need to Know (Joey Musaphia 7"" radio edit)","Marc Anthony",1
"I Need to Know (Pablo's club-dub)","Marc Anthony",1
"I Need to Know (Pablo's Miami mix radio edit)","Marc Anthony",1
"I Need to Know (Pablo's Miami mix)","Mark Anthony",1
"I Need to Know (Pablo Flores Miami mix)","Marc Anthony",1
"I Need to Know (Pablo’s Miami mix radio edit)","Marc Anthony",1
"I Need to Know (Track Masters remix)","Marc Anthony",1
"I Need You (Almighty mix edit)","LeAnn Rimes",1
"I Need You (Almighty mix)","LeAnn Rimes",1
"I Need You (Dave Aude radio edit)","LeAnn Rimes",1
"I Need You (Digital Dog remix)","LeAnn Rimes",1
"I Need You (Graham Stack radio edit)","LeAnn Rimes",1
"I Need You (Lenny B radio edit)","LeAnn Rimes",1
"I Need You (radio edit)","LeAnn Rimes",1
"I Should Be Sleeping (3 a.m. mix)","Emerson Drive",1
"I Should Be Sleeping (acoustic mix)","Emerson Drive",1
"I Should Be... (radio edit)","Dru Hill",1
"I Should Be… (radio edit)","Dru Hill",1
"I Still Believe","Krayzie Bone feat. Mariah Carey",1
"I Still Believe (Album Version)","Mariah Carey",1
"I Still Believe (Morales' Classic club mix - UK edit)","Mariah Carey",1
"I Still Believe (Morales' Classic club mix edit)","Mariah Carey",1
"I Still Believe (Morales' Classic Club mix)","Mariah Carey",1
"I Still Believe (Morales Classic club mix)","Mariah Carey",1
"I Still Believe (Stevie J. Clean Remix)","Mariah Carey",1
"I Still Believe (Stevie J. Remix A Capella)","Mariah Carey",1
"I Still Believe (Stevie J. Remix Explicit)","Mariah Carey",1
"I Still Believe (Stevie J. remix feat. Mocha & Amil)","Mariah Carey",1
"I Still Believe (Stevie J. Remix)","Mariah Carey",1
"I Still Believe (The Eve Of Soulds Mix)","Mariah Carey",1
"I Still Believe (The Eve of Souls mix - UK edit)","Mariah Carey",1
"I Still Believe (The Eve of Souls mix)","Mariah Carey",1
"I Still Believe (The Kings mix instrumental)","Mariah Carey",1
"I Think God Can Explain (radio version)","Splender",1
"I Think I'm in Love With You (Lenny B's club mix)","Jessica Simpson",1
"I Think I'm in Love With You (live from Universal Amphitheater)","Jessica Simpson",1
"I Think I'm in Love With You (Peter Rauhofer club mix)","Jessica Simpson",1
"I Think I'm in Love With You (Peter Rauhofer dub mix)","Jessica Simpson",1
"I Think I'm in Love With You (radio version)","Jessica Simpson",1
"I Think I'm in Love With You (Soda club Funk mix)","Jessica Simpson",1
"I Told Y'all","Petey Pablo",1
"I Told Y’all","Petey Pablo",1
"I Turn to You (video)","Christina Aguilera",1
"I Wanna Be Bad (No rap version)","Willa Ford",1
"I Wanna Be Bad (Plasmic Honey club mix)","Willa Ford",1
"I Wanna Be Bad (Plasmic Honey edit)","Willa Ford",1
"I Wanna Be Bad (Rizzo club mix)","Willa Ford",1
"I Wanna Be Bad (Rizzo radio edit)","Willa Ford",1
"I Wanna Be Bad (Sal Parm mix)","Willa Ford",1
"I Wanna Be With You (acoustic version)","Mandy Moore",1
"I Wanna Be With You (album version)","Mandy Moore",1
"I Wanna Be With You (Soul Solution remix - extended)","Mandy Moore",1
"I Wanna Be With You (Soul Solution remix)","Mandy Moore",1
"I Wanna Be With You (Soul Solution Remix)","Mandy Moore",1
"I Wanna Love You Forever (Edit)","Jessica Simpson",1
"I Wanna Love You Forever (Soul Solution remix)","Jessica Simpson",1
"I Wanna Love You Forever (Soul Solution vonus beatz)","Jessica Simpson",1
"I Wanna Talk About Me","Toby Keith",1
"I Want It All (album version)","Warren G feat. Mack 10",1
"I Want It All (radio edit)","Warren G feat. Mack 10",1
"I Want It That Way (Anstandslos & Durchgeknallt remix)","Backstreet Boys",1
"I Want It That Way (Jazzy Jim vocal mix)","Backstreet Boys",1
"I Want It That Way (Kees Sjansen remix)","Backstreet Boys",1
"I Want It That Way (live)","Backstreet Boys",1
"I Want It That Way (live, VH1 2000)","Sting with Backstreet Boys",1
"I Want It That Way (Morales club version)","Backstreet Boys",1
"I Want It That Way (Morales club vocal)","Backstreet Boys",1
"I Want It That Way (Reimagined)","Backstreet Boys",1
"I Want It That Way (The Jack D. Elliot remix)","Backstreet Boys",1
"I Want It That Way (The Wunder dub)","Backstreet Boys",1
"I Want You (Instrumental)","Janet Jackson",1
"I Want You (radio edit)","Thalía featuring Fat Joe",1
"I Will Get There (a cappella with strings)","Boyz II Men",1
"I Will Get There (a cappella)","Boyz II Men",1
"I Will Get There (Build Up mix)","Boyz II Men",1
"I Will Get There (Inspirational version)","Boyz II Men",1
"I Will Get There (instrumental)","Boyz II Men",1
"I Will Get There (LP version)","Boyz II Men",1
"I Will Go With You (Club 69 Future mix)","Donna Summer",1
"I Will Go With You (Club 69 Future Mix)","Donna Summer",1
"I Will Go With You (club 69 Future radio edit)","Donna Summer",1
"I Will Go With You (Con te Partiro)","Donna Summer",1
"I Will Go With You (Con te partiró)","Donna Summer",1
"I Will Go With You (Con te partirò)","Donna Summer",1
"I Will Go With You (Con te partirò) (Club 63 Radio mix)","Donna Summer",1
"I Will Go With You (Con te partirò) (Club 69 Future mix)","Donna Summer",1
"I Will Go With You (Con te partirò) (Rosabel Radio remix)","Donna Summer",1
"I Will Go With You (Con te partirò) (Skillmasters remix)","Donna Summer",1
"I Will Go With You (Con te partirò) (Welcome Downtempo Radio mix)","Donna Summer",1
"I Will Go With You (Warren Gig radio edit)","Donna Summer",1
"I will love again","Lara Fabian",1
"I Will Love Again (Almighty mix)","Lara Fabian",1
"I Will Love Again (ballad reprise)","Lara Fabian",1
"I Will Love Again (ballad version)","Lara Fabian",1
"I Will Love Again (Ballard reprise)","Lara Fabian",1
"I Will Love Again (Thunderpuss mix)","Lara Fabian",1
"I Will Remember You (Live)","Sarah McLachlan",1
"I Will Remember You (original version)","Sarah McLachlan",1
"I Will Remember You (radio edit)","Sarah McLachlan",1
"I Will, But","SHeDAISY",1
"I Will… But","SHeDAISY",1
"I Wish","Jo Dee Messina",1
"I Wish (call out research hook)","Carl Thomas",1
"I Wish (instrumental)","Carl Thomas",1
"I Wish (radio edit)","Carl Thomas",1
"I Wish I Wasn't (Darryl James a cappella)","Heather Headley",1
"I Wish I Wasn't (Darryl James radio mix)","Heather Headley",1
"I Wish I Wasn't (Daryl James mix)","Heather Headley",1
"I Wish I Wasn't (Junior's World mix)","Heather Headley",1
"I Wish I Wasn't (Junior's World radio mix)","Heather Headley",1
"I Wish I Wasn't (Junior Vasquez club mix 7"" edit)","Heather Headley",1
"I Wish I Wasn't (Junior Vasquez original club mix)","Heather Headley",1
"I Wish I Wasn't (Junior Vasquez original radio mix)","Heather Headley",1
"I Wish I Wasn't (radio edit)","Heather Headley",1
"I Wish I Wasn't (Remix)","Heather Headley",1
"I Wish I Wasn't (Thick Dick dub)","Heather Headley",1
"I Wish I Wasn't (Thick Dick vocal mix)","Heather Headley",1
"I Wish I Wasn’t (vocal mix)","Heather Headley",1
"I Wish You'd Stay","Brad Paisley",1
"I Wish You’d Stay","Brad Paisley",1
"I.Z.Z.O.","Jay‐Z",1
"I’d Do Anything","Simple Plan",1
"I’d Do Anything (live)","Simple Plan",1
"I’ll Be","Reba McEntire",1
"I’ll Be (acoustic)","Edwin McCain",1
"I’ll Be Your Everything","Youngstown",1
"I’ll Be Your Everything (album version from Inspector Gadget))","Youngstown",1
"I’ll Be Your Everything (album version)","Youngstown",1
"I’ll Think of a Reason Later (iTunes Originals version)","Lee Ann Womack",1
"I’m a Thug","Trick Daddy",1
"I’m Already There (Message From Home)","Lonestar",1
"I’m Already There (Rhett’s mix)","Lonestar",1
"I’m Glad (album version)","Jennifer Lopez",1
"I’m Glad (Ford’s Siren club mix)","Jennifer Lopez",1
"I’m Glad (Paul Oakenfold Perfecto mix)","Jennifer Lopez",1
"I’m Glad (Who Da Funk remix)","Jennifer Lopez",1
"I’m Gonna Be Alright","J.Lo featuring Nas",1
"I’m Gonna Be Alright","Jennifer Lopez feat. 50 Cent, Nas",1
"I’m Gonna Be Alright (Trackmasters remix)","Jennifer Lopez feat. Nas",1
"I’m Gonna Getcha Good! (Sowatt dance mix)","Shania Twain",1
"I’m Gonna Miss Her (karaoke)","Brad Paisley",1
"I’m Like a Bird","N Furtado",1
"I’m Ready","Cherie",1
"I’m Ready (Mike Rizzo Club mix)","Cherie",1
"I’m Real","Jennifer Lopez & Ja Rule",1
"I’m Still in Love With You","Sean Paul & Sasha",1
"I’m Tryin’","Trace Adkins",1
"I’m With You","A Lavigne",1
"I’m Your Angel","R. Kelly feat. Celine Dion",1
"I’m Your Angel","R. Kelly feat. Céline Dion",1
"I’ve Got You","Marc Anthony",1
"If I can't","50 Cent",1
"If I Can't (Clean)","50 Cent",1
"If I Can't (DJ Vlad remix)","The Notorious B.I.G. & 50 Cent",1
"If I Can't (Instrumental)","50 Cent",1
"If I Can't (remix)","50 Cent",1
"If I Could Go","Angie Martinez feat. Lil’ Kim & Sacario",1
"If I Could Go!","Angie Martinez Feat. Lil’ Mo & Sacario",1
"If I Could Go!","Angie Martinez feat. Lil’ Mo and Sacario",1
"If I Could Go!","Angie Martinez feat. Sacario",1
"If I Could Go! (acappella)","Angie Martinez feat. Lil’ Mo & Sacario",1
"If I Could Go! (LP version)","Angie Martinez Feat Lil’ Mo & Sacario",1
"If I Could Go! (radio version)","Angie Martinez feat. Lil’ Mo & Sacario",1
"If I Could Go! (tv track)","Angie Martinez feat. Lil’ Mo & Sacario",1
"If I Fall You're Going Down With Me","Dixie Chicks",1
"if my heart had wings","Faith Hill",1
"If My Heart Had Wings","Faith Hill",1
"If Nobody Believed in You","Joe Nichols",1
"If You're Gone (acoustic) (live From Yahoo session)","Matchbox Twenty",1
"If You're Gone (album version)","Matchbox Twenty",1
"If You're Gone (edit)","Matchbox Twenty",1
"If You're Gone (live)","Matchbox Twenty",1
"If You're Gone (live, S.I.R. Studios, New York, NY, USA)","Matchbox Twenty",1
"If You (2000 Watts remix edit)","Silk",1
"If You (2000 Watts remix)","Silk",1
"If You (Sexin' Me Alternative mix)","Silk",1
"If You Can Do Anything Else","George Strait",1
"If You Could Read My Mind","Stars on 54 feat. Ultra Naté, Amber & Jocelyn Enriquez",1
"If You Could Read My Mind","Stars on 54, Ultra Naté, Amber, Jocelyn Enriquez",1
"If You Could Read My Mind","Stars on 54: Amber, Ultra Naté & Jocelyn Enriquez",1
"If You Could Read My Mind","Studio 54-Allstars, Ultra Naté, Amber, Jocelyn Enriquez",1
"If You Could Read My Mind (album version)","Stars On 54 : Ultra Naté, Amber & Jocelyn Enriquez",1
"If You Could Read My Mind (album version)","Ultra Naté, Amber & Jocelyn Enriquez",1
"If You Could Read My Mind (Hex Hector club mix)","Stars On 54 : Ultra Naté, Amber & Jocelyn Enriquez",1
"If You Could Read My Mind (Hex Hector dub mix)","Stars On 54 : Ultra Naté, Amber & Jocelyn Enriquez",1
"If You Could Read My Mind (Hex Hector edit)","Stars On 54 : Ultra Naté, Amber & Jocelyn Enriquez",1
"If You Could Read My Mind (instrumental)","Ultra Naté, Amber & Jocelyn Enriquez",1
"If You Could Read My Mind (original club mix)","Stars On 54 : Ultra Naté, Amber & Jocelyn Enriquez",1
"If You Could Read My Mind (original edit)","Stars On 54 : Ultra Naté, Amber & Jocelyn Enriquez",1
"If You Could Read My Mind (original radio edit)","Stars On 54 : Ultra Naté, Amber & Jocelyn Enriquez",1
"If You Could Read My Mind (remix radio edit)","Stars On 54 : Ultra Naté, Amber & Jocelyn Enriquez",1
"If You Could Read My Mind (Shark dub mix)","Stars On 54 : Ultra Naté, Amber & Jocelyn Enriquez",1
"If You Ever Stop Loving Me (karaoke)","Montgomery Gentry",1
"Ignition (Remix)","R. Kelly",1
"Imagine That (radio edit)","LL Cool J",1
"In Another World","Joe Diffie",1
"In da club","50 Cent",1
"In da Wind","Trick Daddy featuring Cee‐Lo & Big Boi",1
"In da Wind (Ride Out mix)","Trick Daddy featuring Cee‐Lo & Big Boi",1
"In Love Wit Chu","Da Brat feat. Cherish",1
"In Love Wit Chu (instrumental)","Da Brat feat. Cherish",1
"In Love Wit Chu (radio edit)","Da Brat feat. Cherish",1
"In The End","Linkin Park",1
"In Those Jeans (a capella)","Ginuwine",1
"In Those Jeans (album version)","Ginuwine",1
"In Those Jeans (callout hook)","Ginuwine",1
"In Those Jeans (instrumental)","Ginuwine",1
"In Those Jeans (radio edit)","Ginuwine",1
"In Those Jeans (Remix, Bonus Track)","Grafh & Ginuwine",1
"Incomplete (Artful Dodger remix)","Sisqó",1
"Incomplete (enhanced video)","Sisqó",1
"Incomplete (LP version clean)","Sisqó",1
"Incomplete (original version)","Sisqó",1
"Incomplete (radio edit)","Sisqó",1
"Incomplete (re‐recorded)","Sisqó",1
"Incomplete (Re‐Recorded)","Sisqo",1
"Incomplete (video)","Sisqó",1
"Independent Women Part I","Destiny’s Child",1
"Independent Women Part I (album version)","Destiny’s Child",1
"Independent Women, Part I (#1's edit)","Destiny’s Child",1
"Independent Women, Part I (5.1 mix)","Destiny’s Child",1
"Independent Women, Part I (Joe Smooth 200 Proof 2 Step mix)","Destiny’s Child",1
"Independent Women, Part I (Maurice's radio mix)","Destiny’s Child",1
"Independent Women, Part I (Victor Calderone club mix)","Destiny’s Child",1
"Independent Women, Part I (Victor Calderone radio mix)","Destiny’s Child",1
"Inside Out","Jody 6",1
"Inside Out (acoustic version)","Eve 6",1
"Inside Out (Album Version)","Eve 6",1
"Inside Out (Live)","Eve 6",1
"Inside Out (Pop Edit)","Eve 6",1
"Into You","Fabolous & Ashanti",1
"Intuition (Ford's Extended mix)","Jewel",1
"Intuition (Ford's Extended Mix)","Jewel",1
"Intuition (Ford’s radio mix)","Jewel",1
"Intuition (G and D)","Jewel",1
"Intuition (iTunes Originals Version)","Jewel",1
"Intuition (live at Sessions@AOL)","Jewel",1
"Intuition (Markus Schulz club mix)","Jewel",1
"Intuition (Markus Schulz Coldharbor mix)","Jewel",1
"Intuition (Tee's Freeze mix)","Jewel",1
"Intuition (Tee's Freeze Mix)","Jewel",1
"Intuition (Tee's Kat mix)","Jewel",1
"Intuition (Tee's Kat Mix)","Jewel",1
"Iris (acoustic version)","The Goo Goo Dolls",1
"Iris (album version)","Goo Goo Dolls",1
"Iris (demo)","Goo Goo Dolls",1
"Iris (edit)","Goo Goo Dolls",1
"Irresistible","Brian Simpson",1
"Irresistible (album version)","Jessica Simpson",1
"Irresistible (Alex G. & Rip Rock main a cappella)","Jessica Simpson",1
"Irresistible (Alex G. & Rip Rock main instrumental)","Jessica Simpson",1
"Irresistible (Alex G. & Rip Rock main)","Jessica Simpson",1
"Irresistible (Hex Hector main vocal mix a cappella)","Jessica Simpson",1
"Irresistible (Hex Hector main vocal mix instrumental)","Jessica Simpson",1
"Irresistible (Hex Hector main vocal mix)","Jessica Simpson",1
"Irresistible (Hex Hector radio mix)","Jessica Simpson",1
"Irresistible (Hex Hector/Dezrok main club mix)","Jessica Simpson",1
"Irresistible (Hex Hector/Dezrok main dub mix)","Jessica Simpson",1
"Irresistible (Jermaine Dupri remix)","Jessica Simpson",1
"Irresistible (Kupper club mix)","Jessica Simpson",1
"Irresistible (Kupper radio mix)","Jessica Simpson",1
"Irresistible (Riprock 'n' Alex G remix Deluxe)","Jessica Simpson",1
"Is That Your Chick","Memphis Bleek feat. Jay‐Z & Missy Elliott",1
"Is That Your Chick (The Lost Verses)","Memphis Bleek feat. Jay‐Z, Twista & Missy Elliott",1
"Is That Your Chick (The Lost Verses)","Memphis Bleek feat. Jay‐Z, Twista and Missy Elliott",1
"It's a Great Day to be Alive","Travis Tritt",1
"It's A Great Day To Be Alive","Travis Tritt",1
"It's Always Somethin'","Joe Diffie",1
"It's Been Awhile (acoustic)","Staind",1
"It's Been Awhile (Amended)","Staind",1
"It's Been Awhile (live)","Staind",1
"It's Five o'Clock Somewhere","Alan Jackson & Jimmy Buffett",1
"It's Five O'clock Somewhere","Jimmy Buffett",1
"It's Five O'Clock Somewhere","Alan Jackson & Jimmy Buffett",1
"It's Five O'Clock Somewhere","Alan Jackson and Jimmy Buffett & Jimmy Buffett",1
"It's Five O'Clock Somewhere (karaoke mix)","Alan Jackson & Jimmy Buffett",1
"It's Five O'Clock Somewhere (vocal mix)","Alan Jackson & Jimmy Buffett",1
"It's My Life","No Doubt",1
"It's My Life (Great People club mix)","No Doubt",1
"It's My Life (It Never Ends)","No Doubt",1
"It's Not Right, but It's Okay","Whitney Houston",1
"It's Over Now (album version)","Deborah Cox",1
"It's Over Now (Allstar mix with rap)","Deborah Cox",1
"It's Over Now (Allstar mix without rap)","Deborah Cox",1
"It's Over Now (Allstar mix)","Deborah Cox",1
"It's Over Now (Hex's club mix)","Deborah Cox",1
"It's Over Now (Hex's Retro-Future mix)","Deborah Cox",1
"It's Over Now (Hex Hector club mix)","Deborah Cox",1
"It's Over Now (Hex Retro-Future mix)","Deborah Cox",1
"It's Over Now (Hex Retro-Future vocal dub)","Deborah Cox",1
"It's Over Now (Junior Dub club dub)","Deborah Cox",1
"It's Over Now (Junior Vasquez Anthem mix)","Deborah Cox",1
"It's The Things You Do","Five",1
"It's Your Song","Garth Brooks",1
"It Must Be Love","Ty Herndon",1
"It Only Hurts When I'm Breathing (5.1 mix)","Shania Twain",1
"It Was (live)","Chely Wright",1
"It Wasn’t Me","Shaggy featuring Ricardo “RikRok” Ducent",1
"It Wasn’t Me (instrumental version)","Shaggy feat. Ricardo “Rik Rok” Ducent",1
"It Wasn’t Me (Punch remix)","Shaggy feat. Ricardo “Rik Rok” Ducent",1
"It Wasn’t Me (sports version)","Shaggy feat. Ricardo “Rik Rok” Ducent",1
"It Wasn’t Me (squeaky version)","Shaggy feat. Ricardo “Rik Rok” Ducent",1
"It Wasn’t Me (vocal 12″ mix instrumental)","Shaggy feat. Ricardo “Rik Rok” Ducent",1
"It Wasn’t Me (vocal 12″ remix)","Shaggy feat. Ricardo “Rik Rok” Ducent",1
"It’s All About You (and Not Me)","Tracie Spencer",1
"It’s All About You (Not About Me) (V’s Booty mix)","Tracie Spencer",1
"It’s Always Somethin’","Joe Diffie",1
"It’s Five O’Clock Somewhere","Alan Jackson & Jimmy Buffett",1
"It’s Five O’Clock Somewhere","Alan Jackson feat. Jimmy Buffett",1
"It’s My Life (Jacques Lu Cont’s Thin White Duke mix)","No Doubt",1
"It’s My Life (Laidback Luke mix)","No Doubt",1
"It’s Not Right but It’s Okay","Whitey Houston",1
"It’s Not Right but It’s Okay (Club 69 remix)","Whitney Houston",1
"It’s Not Right but It’s Okay (Thunderpuss 2000 dub)","Whitney Houston",1
"It’s Not Right but It’s Okay (Thunderpuss radio mix)","Whitney Houston",1
"It’s Over Now (album version)","112",1
"It’s Over Now (Allstar mix)","Deborah Cox",1
"It’s Over Now (Hex Retro-Future club mix)","Deborah Cox",1
"It’s Over Now (Hex Retro-Future instrumental dub)","Deborah Cox",1
"It’s Over Now (instrumental)","112",1
"It’s Over Now (Retro-Future radio mix)","Deborah Cox",1
"It’s So Hard","Big Pun feat. Donell Jones",1
"It’s So Hard (clean acappella)","Big Punisher featuring Donell Jones",1
"It’s So Hard (clean version)","Big Punisher featuring Donell Jones",1
"It’s So Hard (main version)","Big Punisher featuring Donell Jones",1
"It’s So Hard (TV clean version)","Big Punisher featuring Donell Jones",1
"It’s the Things You Do","Five",1
"It’s the Things You Do (Sean & Dave's Excellent extended mix)","Five",1
"It’s Your Song","Garth Brooks",1
"Izzo","J Dilla & Jay‐Z",1
"Izzo","JAY‐Z",1
"Izzo (86 BPM R&B)","Jay‐Z",1
"Izzo (H.O.V.A)","Jay‐Z",1
"Izzo (h.o.v.a.)","Jay‐Z",1
"Izzo (H.O.V.A.)","JAY Z",1
"Izzo (H.o.V.a.) (edit)","Jay‐Z",1
"Izzo (H.o.V.a.) (instrumental)","Jay‐Z",1
"Izzo (H.O.V.A.) (Instrumental)","Jay-Z",1
"IZZO (HOVA)","Jay‐Z",1
"Jaded (A Side Dub Mix)","Nevins vs. Aerosmith",1
"Jaded (guitars mix)","Aerosmith",1
"Jaded (Unreleased Club Mix)","Nevins vs. Aerosmith",1
"Jamboree (a cappella)","Naughty by Nature feat. Zhané",1
"Jamboree (club mix)","Naughty by Nature feat. Zhané",1
"Jamboree (radio mix)","Naughty by Nature feat. Zhané",1
"Jamboree (TV track)","Naughty by Nature feat. Zhané",1
"Jenny From the Block","Jennifer Lopez feat. Jadakiss",1
"Jenny From the Block","Jennifer Lopez feat. Styles & Jadakiss",1
"Jenny from the Block (Track Masters remix)","Jennifer Lopez feat. Styles P & Jadakiss",1
"Jenny From the Block (Track Masters remix)","Jennifer Lopez feat. Styles P & Jadakiss",1
"Jigga","JAY‐Z",1
"Jigga","Ruff Ryders feat. JAY Z",1
"Jigga (That Nigga)","Jay‐Z",1
"Jigga My N**** (LP Version)","JAY‐Z",1
"Jigga My N....","Jay‐Z",1
"John Doe","Public Announcement feat. Lele",1
"Jook Gal (Head Gawn version)","Elephant Man",1
"Jumper (1998 edit)","Third Eye Blind",1
"Jumper (1998 Edit)","Third Eye Blind",1
"Jumper (Live at Q101 Jamboree)","Third Eye Blind",1
"Jumper (radio edit)","Third Eye Blind",1
"Jumpin, Jumpin","Destiny’s Child",1
"Just a Baby Boy","Snoop Dogg feat. Tyrese & Mr Tan",1
"Just a Baby Boy","Snoop Dogg feat. Tyrese & Mr. Tan",1
"Just a Little While","Ollie Jackson",1
"Just A Little While (Edit)","Janet Jackson",1
"Just A Little While (Live on Top Of The Pops)","Janet Jackson",1
"Just A Little While (Maurice's Peter Rauhofer Radio Edit)","Janet Jackson",1
"Just a Little While (Peter Rauhofer Club Mix)","Janet Jackson",1
"Just A Little While (Single Radio Edit)","Janet Jackson",1
"Just A Little While (UK Mix) (Main Mix)","Janet Jackson",1
"Just a Little While (UK radio edit)","Janet Jackson",1
"Just Because (acoustic)","Jane’s Addiction",1
"Just Because (live)","Jane's Addiction",1
"Just for You (5.1 mix)","Lionel Richie",1
"Just for You (Metro mix)","Lionel Richie",1
"Just for You (Metro remix)","Lionel Richie",1
"Just for You (Pound Boy radio mix)","Lionel Richie",1
"Just for You (Pound Boys club mix)","Lionel Richie",1
"Just for You (Pound Boys dub)","Lionel Richie",1
"Just for You (Pound Boys mixshow)","Lionel Richie",1
"Just for You (Pound Boys radio mix)","Lionel Richie",1
"Just for You (radio edit)","Lionel Richie",1
"Just for You (The Elektrik Kompany mixshow)","Lionel Richie",1
"Just for You (The Elektrik Kompany radio edit)","Lionel Richie",1
"Just for You (The Elektrik Kompany rhythm radio mix)","Lionel Richie",1
"Just for You (Todd Terry dub)","Lionel Richie",1
"Just for You (Todd Terry Pop radio mix)","Lionel Richie",1
"Just Friends","Musiq",1
"Just Let Me Be In Love","Tracy Byrd",1
"Just Like a Pill (instrumental)","P!nk",1
